step,time_s,position_plain,velocity_plain,position_encrypted,velocity_encrypted,u_plain,u_encrypted,state_error,control_error,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
51,2.550000,0.000302239203,-0.001030367613,0.000302206701,-0.001030369695,0.003317819058,0.003317791163,3.256897481917e-08,2.789468259417e-08,4.035020,3.001504,1.198363,331190,235113
52,2.600000,0.000254764046,-0.000868521803,0.000254731487,-0.000868521998,0.002796682489,0.002796628993,3.255967600548e-08,5.349630382602e-08,4.033316,3.638330,1.577310,330504,235034
53,2.650000,0.000214746105,-0.000732097367,0.000214713550,-0.000732096983,0.002357397730,0.002357318865,3.255657352287e-08,7.886560225148e-08,4.851582,3.158135,1.142099,331584,235160
54,2.700000,0.000181014057,-0.000617101545,0.000180981504,-0.000617101851,0.001987110115,0.001987079899,3.255386086136e-08,3.021626842660e-08,3.977012,2.952723,1.115809,331168,235114
55,2.750000,0.000152580553,-0.000520168626,0.000152548029,-0.000520167202,0.001674983367,0.001674880031,3.255543440027e-08,1.033367657889e-07,4.089321,2.963753,1.198053,331205,235101
56,2.800000,0.000128613325,-0.000438461490,0.000128580824,-0.000438461994,0.001411882808,0.001411828043,3.250534467847e-08,5.476541057366e-08,3.987010,2.963924,1.124275,330993,235067
57,2.850000,0.000108410830,-0.000369588610,0.000108378316,-0.000369588595,0.001190108248,0.001190016645,3.251360768122e-08,9.160269087011e-08,4.050970,3.733969,1.135506,331108,235063
58,2.900000,0.000091381715,-0.000311534076,0.000091349169,-0.000311535373,0.001003168776,0.001003150446,3.257159507739e-08,1.832966833220e-08,3.978745,2.959044,1.127151,331545,235169
59,2.950000,0.000077027515,-0.000262598607,0.000076994963,-0.000262597561,0.000845592894,0.000845552120,3.256860481244e-08,4.077408370055e-08,3.956293,2.949787,1.194125,331143,235113
60,3.000000,0.000064928060,-0.000221349825,0.000064895590,-0.000221347607,0.000712768440,0.000712650980,3.254571437068e-08,1.174604997705e-07,4.032816,3.742535,1.160923,331104,235141
61,3.050000,0.000054729178,-0.000186580336,0.000054696753,-0.000186580769,0.000600807647,0.000600703083,3.242859639205e-08,1.045647664748e-07,3.996077,2.959215,1.110209,331034,235064
62,3.100000,0.000046132331,-0.000157272393,0.000046099835,-0.000157274774,0.000506433379,0.000506382460,3.258342556858e-08,5.091872328335e-08,3.989996,3.407791,1.463538,331130,235103
63,3.150000,0.000038885873,-0.000132568111,0.000038853276,-0.000132569733,0.000426883231,0.000426837569,3.263668550945e-08,4.566149646010e-08,4.752287,2.977659,1.111782,331872,235042
64,3.200000,0.000032777685,-0.000111744356,0.000032745033,-0.000111744970,0.000359828690,0.000359778140,3.265796252758e-08,5.055003523689e-08,3.959940,2.948826,1.141187,331315,235102
65,3.250000,0.000027628970,-0.000094191582,0.000027596306,-0.000094191452,0.000303306988,0.000303241175,3.266447578823e-08,6.581314241510e-08,3.979597,4.182847,1.910230,331551,235050
66,3.300000,0.000023289014,-0.000079395989,0.000023256355,-0.000079395886,0.000255663654,0.000255539849,3.265855640739e-08,1.238054928466e-07,6.112892,3.540498,1.592478,331651,235113
67,3.350000,0.000019630777,-0.000066924480,0.000019598051,-0.000066927266,0.000215504094,0.000215450999,3.284416369450e-08,5.309532484114e-08,4.595083,2.964845,1.183806,331658,235105
68,3.400000,0.000016547176,-0.000056411992,0.000016514328,-0.000056414092,0.000181652770,0.000181587929,3.291503788119e-08,6.484116457585e-08,4.002660,2.942995,1.111942,333229,235056
69,3.450000,0.000013947946,-0.000047550802,0.000013914995,-0.000047552803,0.000153118792,0.000153107143,3.301124805619e-08,1.164955413055e-08,3.968466,2.992567,1.115849,331168,235128
70,3.500000,0.000011757003,-0.000040081526,0.000011724021,-0.000040080796,0.000129066919,0.000128989851,3.299011500456e-08,7.706732157997e-08,4.016696,3.751761,1.132972,331040,235147
71,3.550000,0.000009910213,-0.000033785522,0.000009877253,-0.000033785360,0.000108793105,0.000108691742,3.296019988595e-08,1.013630875193e-07,3.995967,2.969754,1.155394,331522,235120
72,3.600000,0.000008353517,-0.000028478494,0.000008320521,-0.000028480085,0.000091703895,0.000091693284,3.303406623360e-08,1.061177233409e-08,3.993453,3.731023,1.769007,331114,235079
73,3.650000,0.000007041346,-0.000024005093,0.000007008341,-0.000024003909,0.000077299055,0.000077249909,3.302685323056e-08,4.914571058368e-08,4.156055,2.978470,1.125558,330996,235073
74,3.700000,0.000005935292,-0.000020234374,0.000005902365,-0.000020232389,0.000065156924,0.000065088697,3.298601358225e-08,6.822694331021e-08,3.995917,2.952001,1.117934,331544,234740
75,3.750000,0.000005002976,-0.000017055958,0.000004970145,-0.000017054145,0.000054922078,0.000054844616,3.288134249459e-08,7.746158300244e-08,3.959679,2.942814,1.157167,331166,235067
76,3.800000,0.000004217109,-0.000014376809,0.000004184352,-0.000014375627,0.000046294920,0.000046187282,3.277776763531e-08,1.076378930473e-07,3.974217,2.956270,1.113254,331655,235148
77,3.850000,0.000003554685,-0.000012118500,0.000003521935,-0.000012119428,0.000039022915,0.000038976510,3.276348327000e-08,4.640488758549e-08,3.961994,3.860815,1.831794,331443,235102
