step,time_s,sensor_position,sensor_velocity,u_from_encrypted_controller,u_plain_validation,control_error,next_position,next_velocity,state_change_norm,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
39,1.950000,0.002348824980,-0.008006244884,0.025773583604,0.025774231882,6.482779023806e-07,0.001979920446,-0.006749026823,1.310224334938e-03,4.127011,3.190536,1.802168,331563,235070
40,2.000000,0.001979920446,-0.006749026823,0.021727520813,0.021728159965,6.391515254209e-07,0.001668946476,-0.005689165497,1.104541009302e-03,6.172102,3.881193,1.133011,331107,235096
41,2.050000,0.001668946476,-0.005689165497,0.018316158343,0.018316870160,7.118169721744e-07,0.001406808588,-0.004795704082,9.311227486379e-04,4.027306,3.313866,1.810574,331568,235205
42,2.100000,0.001406808588,-0.004795704082,0.015440301346,0.015440930116,6.287695131259e-07,0.001185839304,-0.004042522915,7.849262985337e-04,6.303207,4.517099,1.818739,331069,235118
43,2.150000,0.001185839304,-0.004042522915,0.013015679536,0.013016337303,6.577669651418e-07,0.000999574446,-0.003407612628,6.616688516934e-04,6.350104,4.395291,1.806627,331708,235122
44,2.200000,0.000999574446,-0.003407612628,0.010971688877,0.010972367306,6.784299326733e-07,0.000842564289,-0.002872407021,5.577609089654e-04,4.796109,2.949026,1.118314,331422,234724
45,2.250000,0.000842564289,-0.002872407021,0.009248689825,0.009249302482,6.126576327595e-07,0.000710214749,-0.002421248713,4.701704155173e-04,3.968997,3.162504,1.115499,330288,235036
46,2.300000,0.000710214749,-0.002421248713,0.007796092178,0.007796748585,6.564072268130e-07,0.000598652961,-0.002040948124,3.963263435808e-04,4.000195,4.118566,1.795446,331542,235142
47,2.350000,0.000598652961,-0.002040948124,0.006571655907,0.006572305753,6.498450323168e-07,0.000504614079,-0.001720375656,3.340808559789e-04,6.063400,4.065556,1.138452,331638,235071
48,2.400000,0.000504614079,-0.001720375656,0.005539478366,0.005540139655,6.612884436924e-07,0.000425345982,-0.001450153090,2.816090665397e-04,3.962294,2.982338,1.113585,331458,235069
49,2.450000,0.000425345982,-0.001450153090,0.004669411784,0.004670073587,6.618033875101e-07,0.000358528726,-0.001222372692,2.373782965664e-04,3.980508,2.995702,1.127001,331230,235024
50,2.500000,0.000358528726,-0.001222372692,0.003935974941,0.003936650813,6.758723874976e-07,0.000302206701,-0.001030369695,2.000932812958e-04,4.054887,3.973315,1.161074,331465,235024
51,2.550000,0.000302206701,-0.001030369695,0.003317791163,0.003318421801,6.306379135585e-07,0.000254731487,-0.000868521998,1.686670481848e-04,4.035020,3.001504,1.198363,331190,235113
52,2.600000,0.000254731487,-0.000868521998,0.002796628993,0.002797270211,6.412175038023e-07,0.000214713550,-0.000732096983,1.421732038807e-04,4.033316,3.638330,1.577310,330504,235034
53,2.650000,0.000214713550,-0.000732096983,0.002357318865,0.002357980446,6.615817640539e-07,0.000180981504,-0.000617101851,1.198404415235e-04,4.851582,3.158135,1.142099,331584,235160
54,2.700000,0.000180981504,-0.000617101851,0.001987079899,0.001987698655,6.187564726397e-07,0.000152548029,-0.000520167202,1.010187541717e-04,3.977012,2.952723,1.115809,331168,235114
55,2.750000,0.000152548029,-0.000520167202,0.001674880031,0.001675556699,6.766679633632e-07,0.000128580824,-0.000438461994,8.514791781307e-05,4.089321,2.963753,1.198053,331205,235101
56,2.800000,0.000128580824,-0.000438461994,0.001411828043,0.001412472115,6.440718041964e-07,0.000108378316,-0.000369588595,7.177524888284e-05,3.987010,2.963924,1.124275,330993,235067
57,2.850000,0.000108378316,-0.000369588595,0.001190016645,0.001190693363,6.767183570696e-07,0.000091349169,-0.000311535373,6.049932625978e-05,4.050970,3.733969,1.135506,331108,235063
58,2.900000,0.000091349169,-0.000311535373,0.001003150446,0.001003765620,6.151733660639e-07,0.000076994963,-0.000262597561,5.099953539600e-05,3.978745,2.959044,1.127151,331545,235169
59,2.950000,0.000076994963,-0.000262597561,0.000845552120,0.000846169936,6.178158926799e-07,0.000064895590,-0.000221347607,4.298783018936e-05,3.956293,2.949787,1.194125,331143,235113
60,3.000000,0.000064895590,-0.000221347607,0.000712650980,0.000713334049,6.830687339337e-07,0.000054696753,-0.000186580769,3.623188228789e-05,4.032816,3.742535,1.160923,331104,235141
61,3.050000,0.000054696753,-0.000186580769,0.000600703083,0.000601394995,6.919125667031e-07,0.000046099835,-0.000157274774,3.054092935315e-05,3.996077,2.959215,1.110209,331034,235064
62,3.100000,0.000046099835,-0.000157274774,0.000506382460,0.000507038552,6.560923683134e-07,0.000038853276,-0.000132569733,2.574590598570e-05,3.989996,3.407791,1.463538,331130,235103
63,3.150000,0.000038853276,-0.000132569733,0.000426837569,0.000427483753,6.461841826511e-07,0.000032745033,-0.000111744970,2.170210502344e-05,4.752287,2.977659,1.111782,331872,235042
64,3.200000,0.000032745033,-0.000111744970,0.000359778140,0.000360421652,6.435123896644e-07,0.000027596306,-0.000094191452,1.829304227048e-05,3.959940,2.948826,1.141187,331315,235102
65,3.250000,0.000027596306,-0.000094191452,0.000303241175,0.000303893837,6.526626417678e-07,0.000023256355,-0.000079395886,1.541894777438e-05,3.979597,4.182847,1.910230,331551,235050
66,3.300000,0.000023256355,-0.000079395886,0.000255539849,0.000256250632,7.107835186572e-07,0.000019598051,-0.000066927266,1.299421686162e-05,6.112892,3.540498,1.592478,331651,235113
67,3.350000,0.000019598051,-0.000066927266,0.000215450999,0.000216116838,6.658394837370e-07,0.000016514328,-0.000056414092,1.095610207041e-05,4.595083,2.964845,1.183806,331658,235105
